origin_country_iso_code,destination_country_iso_code,scaling_factor
DZA,FRA,0.0825147347740668
DZA,DEU,0.03333333333333333
DZA,GBR,0.027777777777777776
ARG,BRA,0.1485148514851485
ARG,FRA,0.1111111111111111
ARG,ITA,0.125
ARG,NLD,0.46153846153846156
ARG,NZL,0.16666666666666666
ARG,ESP,0.09859154929577464
ARG,GBR,0.3333333333333333
ARG,USA,0.29310344827586204
AUS,BRN,1
AUS,CAN,0.2
AUS,CHN,1
AUS,FRA,0.11764705882352941
AUS,DEU,0.15384615384615385
AUS,HKG,0.6118980169971672
AUS,IDN,0.1694915254237288
AUS,JPN,0.13
AUS,MYS,0.18181818181818182
AUS,NZL,0.01990049751243781
AUS,PHL,0.01694915254237288
AUS,SGP,0.8079470198675497
AUS,KOR,0.18840579710144928
AUS,ARE,0.532258064516129
AUS,GBR,0.0898876404494382
AUS,USA,0.20722891566265061
AUT,BGR,0.0625
AUT,DEU,0.05787037037037037
AUT,ISR,0.125
AUT,LUX,0.1232876712328767
AUT,NLD,0.06172839506172839
AUT,NOR,0.1780821917808219
AUT,ARE,0.8333333333333334
BHR,HKG,1
BRB,USA,0.05084745762711865
BEL,CAN,0.045454545454545456
BEL,FIN,0.45901639344262296
BEL,FRA,0.05309734513274336
BEL,DEU,0.1746031746031746
BEL,HKG,0.9285714285714286
BEL,ITA,0.032507739938080496
BEL,NLD,0.46511627906976744
BEL,NOR,0.050505050505050504
BEL,QAT,0.20634920634920634
BEL,ROU,0.02857142857142857
BEL,RUS,0.043010752688172046
BEL,SAU,1
BEL,SWE,0.005780346820809248
BEL,CHE,0.008403361344537815
BEL,ARE,1
BEL,GBR,0.01152073732718894
BEL,USA,0.8777777777777778
BMU,USA,0.07547169811320754
BOL,BRA,0.03333333333333333
BOL,USA,0.07692307692307693
BRA,ARG,0.09876543209876543
BRA,BOL,0.05263157894736842
BRA,CAN,0.16666666666666666
BRA,FRA,0.14942528735632185
BRA,DEU,0.41304347826086957
BRA,NLD,0.49122807017543857
BRA,QAT,0.4666666666666667
BRA,SEN,1
BRA,ESP,0.0196078431372549
BRA,CHE,0.08823529411764706
BRA,ARE,0.44
BRA,GBR,0.17307692307692307
BRA,USA,0.26184538653366585
BRN,HKG,0.32
BRN,MYS,0.03333333333333333
BRN,PHL,0.25
BRN,SGP,1
CAN,ARG,1
CAN,BRB,0.02127659574468085
CAN,BRA,0.25
CAN,CHN,0.5
CAN,DNK,0.16129032258064516
CAN,FRA,0.15151515151515152
CAN,DEU,0.22598870056497175
CAN,HKG,1
CAN,ISL,0.07142857142857142
CAN,IND,0.06382978723404255
CAN,ISR,1
CAN,JPN,0.5833333333333334
CAN,NLD,0.174496644295302
CAN,PHL,0.02040816326530612
CAN,QAT,1
CAN,CHE,0.27586206896551724
CAN,TUR,1
CAN,ARE,0.175
CAN,GBR,0.1795774647887324
CAN,USA,0.11977240398293029
CPV,FRA,0.16666666666666666
CPV,PRT,0.1111111111111111
CPV,USA,0.125
CHN,AUS,1
CHN,FRA,0.7857142857142857
CHN,DEU,1
CHN,IRL,0.75
CHN,JPN,1
CHN,MYS,0.2926829268292683
CHN,NLD,1
CHN,RUS,0.3333333333333333
CHN,SGP,1
CHN,KOR,1
CHN,THA,0.015625
CHN,GBR,0.8
CHN,USA,1
HRV,DEU,0.1151685393258427
HRV,ITA,0.2
HRV,NOR,1
HRV,RUS,0.02702702702702703
CYP,BEL,1
CYP,DEU,1
CYP,NLD,0.5
