"","origin_country_iso_code","destination_country_iso_code","scaling_factor"
"1","DZA","AUT",0.3
"2","DZA","FRA",0.121428571428571
"3","DZA","DEU",0.0967741935483871
"4","DZA","ITA",0.0416666666666667
"5","DZA","QAT",0.0666666666666667
"6","DZA","ESP",0.0245398773006135
"7","DZA","CHE",0.05
"8","DZA","TUR",0.285714285714286
"9","DZA","GBR",0.027027027027027
"10","ARG","BOL",0.428571428571429
"11","ARG","BRA",0.15884476534296
"12","ARG","FRA",0.111111111111111
"13","ARG","ITA",0.117647058823529
"14","ARG","NLD",0.461538461538462
"15","ARG","NZL",1
"16","ARG","ESP",0.10989010989011
"17","ARG","GBR",0.257142857142857
"18","ARG","USA",0.455284552845528
"19","AUS","ARG",0.5
"20","AUS","BEL",1
"21","AUS","BRA",1
"22","AUS","BRN",0.321428571428571
"23","AUS","CAN",0.0125
"24","AUS","CHN",1
"25","AUS","FRA",0.222222222222222
"26","AUS","PYF",1
"27","AUS","DEU",0.0769230769230769
"28","AUS","HKG",0.585106382978723
"29","AUS","IND",0.326530612244898
"30","AUS","IDN",0.25
"31","AUS","ITA",0.1875
"32","AUS","JPN",0.230769230769231
"33","AUS","MYS",0.189845474613687
"34","AUS","NZL",0.107378524295141
"35","AUS","PHL",0.0140845070422535
"36","AUS","QAT",1
"37","AUS","SAU",1
"38","AUS","SGP",1
"39","AUS","KOR",0.530120481927711
"40","AUS","CHE",0.166666666666667
"41","AUS","TWN",0.772151898734177
"42","AUS","THA",0.0242718446601942
"43","AUS","ARE",0.388278388278388
"44","AUS","GBR",0.073394495412844
"45","AUS","USA",0.500967117988395
"46","AUT","BEL",0.388888888888889
"47","AUT","BGR",0.25
"48","AUT","HRV",0.140845070422535
"49","AUT","CZE",0.428571428571429
"50","AUT","DNK",0.0224719101123595
"51","AUT","FRA",0.0573248407643312
"52","AUT","DEU",0.120246287576965
"53","AUT","GRC",0.0170940170940171
"54","AUT","HUN",0.212765957446809
"55","AUT","IND",0.0588235294117647
"56","AUT","IRL",0.0689655172413793
"57","AUT","ISR",0.555555555555556
"58","AUT","ITA",0.0659536541889483
"59","AUT","LVA",0.0740740740740741
"60","AUT","LUX",0.105882352941176
"61","AUT","MLT",0.142857142857143
"62","AUT","NLD",0.0753246753246753
"63","AUT","NOR",0.197368421052632
"64","AUT","POL",0.0560747663551402
"65","AUT","PRT",0.0943396226415094
"66","AUT","QAT",0.183333333333333
"67","AUT","ROU",0.0087719298245614
"68","AUT","RUS",0.069204152249135
"69","AUT","SAU",0.111111111111111
