"","origin_country_iso_code","destination_country_iso_code","scaling_factor"
"1","DZA","AUT",0.571428571428571
"2","DZA","BEL",0.157894736842105
"3","DZA","FRA",0.165217391304348
"4","DZA","DEU",0.297297297297297
"5","DZA","ITA",0.106060606060606
"6","DZA","PRT",0.25
"7","DZA","QAT",0.214285714285714
"8","DZA","RUS",0.25
"9","DZA","ESP",0.0337837837837838
"10","DZA","CHE",0.222222222222222
"11","DZA","TUR",1
"12","ARG","BEL",1
"13","ARG","BOL",0.103448275862069
"14","ARG","BRA",0.108958837772397
"15","ARG","FRA",0.275862068965517
"16","ARG","NLD",0.727272727272727
"17","ARG","PER",0.2
"18","ARG","ESP",0.0920245398773006
"19","ARG","CHE",0.428571428571429
"20","ARG","GBR",0.285714285714286
"21","ARG","USA",0.246445497630332
"22","AUS","BRN",0.219512195121951
"23","AUS","CHN",0.478260869565217
"24","AUS","DEU",0.12
"25","AUS","HKG",0.415778251599147
"26","AUS","IND",0.116666666666667
"27","AUS","JPN",0.235849056603774
"28","AUS","MYS",0.174757281553398
"29","AUS","NZL",0.119447779111645
"30","AUS","PHL",0.103896103896104
"31","AUS","QAT",0.75
"32","AUS","SGP",0.733160621761658
"33","AUS","KOR",0.339449541284404
"34","AUS","TWN",0.92
"35","AUS","THA",0.120689655172414
"36","AUS","ARE",0.246411483253589
"37","AUS","GBR",0.0493827160493827
"38","AUS","USA",0.479253112033195
"39","AUT","BEL",1
"40","AUT","BGR",1
"41","AUT","HRV",0.188405797101449
"42","AUT","CYP",1
"43","AUT","CZE",0.925925925925926
"44","AUT","DNK",0.366666666666667
"45","AUT","EST",0.0588235294117647
"46","AUT","FIN",0.4375
"47","AUT","FRA",0.398514851485149
"48","AUT","DEU",0.474002849002849
"49","AUT","GRC",0.540350877192982
"50","AUT","HUN",0.7
"51","AUT","ISL",0.8
"52","AUT","IRL",0.362068965517241
"53","AUT","ISR",0.27007299270073
"54","AUT","ITA",0.689167974882261
"55","AUT","JEY",0.333333333333333
"56","AUT","LVA",0.604166666666667
"57","AUT","LTU",0.75
"58","AUT","LUX",0.563829787234043
"59","AUT","MLT",1
"60","AUT","NLD",0.497206703910615
"61","AUT","NOR",0.272727272727273
"62","AUT","POL",0.83206106870229
"63","AUT","PRT",0.886363636363636
"64","AUT","QAT",0.397058823529412
"65","AUT","ROU",1
"66","AUT","RUS",0.189393939393939
"67","AUT","SRB",0.195121951219512
"68","AUT","SVK",1
"69","AUT","SVN",1
"70","AUT","ESP",0.544468546637744
"71","AUT","SWE",0.19620253164557
"72","AUT","CHE",0.579520697167756
"73","AUT","TWN",0.323529411764706
"74","AUT","THA",0.183333333333333
"75","AUT","TUR",1
"76","AUT","UKR",0.405940594059406
"77","AUT","ARE",0.333333333333333
"78","AUT","GBR",0.275797373358349
"79","AUT","USA",0.36986301369863
"80","BHR","BEL",1
"81","BHR","FRA",0.214285714285714
"82","BHR","DEU",1
"83","BHR","GRC",0.368421052631579
"84","BHR","HKG",1
"85","BHR","IND",0.124444444444444
"86","BHR","ISR",1
"87","BHR","ITA",0.3125
"88","BHR","KWT",1
"89","BHR","LBN",0.517241379310345
"90","BHR","PAK",0.0434782608695652
"91","BHR","PHL",0.611111111111111
"92","BHR","QAT",0.55
"93","BHR","SAU",0.144827586206897
"94","BHR","ESP",0.2
"95","BHR","THA",0.0769230769230769
"96","BHR","TUR",0.0483870967741935
"97","BHR","ARE",0.30952380952381
"98","BHR","GBR",0.229885057471264
"99","BGD","IND",1
"100","BGD","MYS",1
"101","BGD","QAT",1
"102","BGD","ARE",1
"103","BRB","BRA",0.333333333333333
"104","BRB","CAN",0.133333333333333
"105","BRB","LCA",0.0625
"106","BRB","VCT",0.140625
"107","BRB","USA",0.188235294117647
"108","BLR","FRA",1
"109","BLR","ITA",1
"110","BLR","LVA",1
"111","BLR","NLD",1
"112","BLR","RUS",1
"113","BLR","SRB",1
"114","BLR","ESP",1
"115","BLR","UKR",1
"116","BEL","DZA",0.05
"117","BEL","AUT",0.646408839779006
"118","BEL","BIH",1
"119","BEL","CAN",0.169811320754717
"120","BEL","HRV",0.220338983050847
"121","BEL","CYP",1
"122","BEL","CZE",0.307142857142857
"123","BEL","DNK",0.216981132075472
"124","BEL","EST",0.166666666666667
"125","BEL","FIN",0.344086021505376
"126","BEL","FRA",0.592651757188498
"127","BEL","DEU",0.54468085106383
"128","BEL","GRC",0.334494773519164
"129","BEL","HKG",0.342857142857143
"130","BEL","HUN",0.461538461538462
"131","BEL","ISL",0.607142857142857
"132","BEL","IND",0.428571428571429
"133","BEL","IRL",0.433566433566434
"134","BEL","ISR",0.565217391304348
"135","BEL","ITA",0.439446366782007
"136","BEL","JPN",1
"137","BEL","LVA",0.288461538461538
"138","BEL","LBN",0.5
"139","BEL","LUX",1
"140","BEL","MLT",0.574468085106383
"141","BEL","MAR",0.263157894736842
"142","BEL","NLD",1
"143","BEL","NOR",0.386363636363636
"144","BEL","POL",0.444444444444444
"145","BEL","PRT",0.583617747440273
"146","BEL","QAT",1
"147","BEL","ROU",1
"148","BEL","RUS",0.227642276422764
"149","BEL","SRB",0.157894736842105
"150","BEL","SVK",0.0526315789473684
"151","BEL","SVN",0.260869565217391
"152","BEL","ZAF",1
"153","BEL","KOR",0.4
"154","BEL","ESP",0.412993039443155
"155","BEL","SWE",0.382716049382716
"156","BEL","CHE",0.162729658792651
"157","BEL","TUR",0.795454545454545
"158","BEL","UKR",0.0697674418604651
"159","BEL","ARE",0.59375
"160","BEL","GBR",0.422330097087379
"161","BEL","USA",0.690721649484536
"162","BLZ","USA",1
"163","BMU","BRB",1
"164","BMU","CAN",0.34375
"165","BMU","CHE",1
"166","BMU","GBR",0.571428571428571
"167","BMU","USA",0.521739130434783
"168","BOL","ARG",0.107142857142857
"169","BOL","BRA",0.142857142857143
"170","BOL","ESP",0.162162162162162
"171","BOL","USA",0.482758620689655
"172","BIH","SWE",0.333333333333333
"173","BRA","ARG",0.129817444219067
"174","BRA","BEL",0.25
"175","BRA","BOL",0.142857142857143
"176","BRA","CAN",0.333333333333333
"177","BRA","FRA",0.414893617021277
"178","BRA","DEU",0.80952380952381
"179","BRA","IRL",0.625
"180","BRA","ITA",0.0465116279069767
"181","BRA","LUX",1
"182","BRA","NLD",1
"183","BRA","PER",0.25
"184","BRA","PRT",0.461538461538462
"185","BRA","QAT",1
