"","country","totalCases","totalNewCases","estimate","lower","upper","population","propCurrentlyInfMid","propCurrentlyInfLow","propCurrentlyInfHigh"
"1","Afghanistan",27532,6073,0.416973799361946,0.303548311308046,0.555399569797703,38928341,0.00075,0.00031,0.0017
"2","Albania",1788,489,0.83618154249705,0.383011647131809,0.999999997026637,2877800,0.00041,0.00019,0.0015
"3","Algeria",11385,1003,0.164950443933333,0.118696138864671,0.224231816818663,43851043,0.00028,0.00011,0.00064
"4","Andorra",855,3,0.338875643550843,0.165902331864141,0.739527766428966,77265,0.00023,0.000058,0.00078
"5","Argentina",35539,10791,0.551978552745904,0.432373042136972,0.676696728413788,45195777,0.00087,0.00039,0.0018
"6","Armenia",18698,5023,0.596763549755392,0.462680002433773,0.762703517113705,2963234,0.0057,0.0025,0.012
"7","Australia",7391,124,0.910018707869888,0.679470622100934,0.999994132389447,25499881,0.000011,0.0000054,0.000024
"8","Austria",17155,253,0.381309177716244,0.19435621842955,0.671900722303925,9006400,0.00015,0.000046,0.00048
"9","Azerbaijan",11329,3138,0.808812554158609,0.605434041972811,0.992372862624055,10139175,0.00077,0.00035,0.0017
"10","Bahamas",104,1,0.594287384019805,0.17334179560292,0.997156631953597,393248,0.0000086,0.0000028,0.000049
"11","Bahrain",20430,4230,0.972743790203598,0.857074590634809,0.99999999998765,1701583,0.0051,0.0028,0.0097
"12","Bangladesh",102292,30617,0.875163094176858,0.704864839212487,0.999994947138969,164689383,0.00042,0.00021,0.00088
"13","Belarus",56657,6392,0.976652745972712,0.79840790686119,1,9449321,0.0014,0.00075,0.0028
"14","Belgium",60348,911,0.331359791771724,0.248104298093477,0.434175349077549,11589616,0.00047,0.0002,0.0011
"15","Bolivia",21499,6855,0.358061403430571,0.282013819367219,0.441039028640227,11673029,0.0033,0.0015,0.0069
"16","Bosnia and Herzegovina",3174,447,0.499796950864045,0.227719592946723,0.913344789883841,3280815,0.00055,0.00017,0.002
"17","Brazil",978142,238639,0.316316608162297,0.250501993755405,0.376387484618973,212559409,0.0071,0.0033,0.015
"18","Bulgaria",3674,785,0.211810699649402,0.151394970764922,0.283319166197823,6948445,0.0011,0.00044,0.0025
"19","Burkina Faso",899,8,0.611460488933482,0.259385183291105,0.980657624118148,20903278,0.0000013,0.00000043,0.0000049
"20","Cameroon",10638,1957,0.857625889011733,0.461659348758169,0.999976063059003,26545864,0.00017,0.000082,0.00053
"21","Canada",100209,3567,0.261292446845959,0.208060787230626,0.317370206305499,37742157,0.00072,0.00033,0.0015
"22","Chad",854,10,0.582975022290239,0.177964026998382,0.970632199225198,16425859,0.0000021,0.0000007,0.000011
"23","Chile",225103,82344,0.608105303827467,0.548193479119985,0.680205302379475,19116209,0.014,0.007,0.026
"24","China",84494,296,0.305872989684077,0.118931613174347,0.981346208170103,1439323774,0.0000013,0.00000023,0.0000058
"25","Colombia",60217,18139,0.270526021684243,0.216695239326861,0.328076790668491,50882884,0.0026,0.0012,0.0055
"26","Congo",883,155,0.493592455820142,0.272253681979333,0.832135089946333,5518092,0.00011,0.000038,0.00034
"27","Costa Rica",1871,496,0.91006411231237,0.67271781125899,0.999998116908679,5094114,0.00021,0.00011,0.00048
"28","Côte d'Ivoire",6063,2068,0.945816416529442,0.791132679724824,0.999999918578889,26378275,0.00017,0.000087,0.00033
"29","Croatia",2269,22,0.228070865237287,0.0930320403051796,0.462501890485934,4105268,0.000047,0.000013,0.00019
"30","Cuba",2295,90,0.817967750766692,0.464208559561098,0.999718389924054,11326616,0.000019,0.0000088,0.000057
"31","Cyprus",985,13,0.800034889705126,0.332582612546037,0.999657291753497,1207361,0.000027,0.000012,0.00011
"32","Czechia",10230,479,0.740303434145508,0.467810174128785,0.993624777882886,10708982,0.00012,0.00005,0.00032
"33","Democratic Republic of the Congo",5282,1024,0.68784685583277,0.431068034019929,0.958912561188857,89561404,0.000033,0.000013,0.000088
"34","Denmark",12344,343,0.6163392968013,0.387773532850398,0.855219827392102,5792203,0.00019,0.000077,0.00051
"35","Djibouti",4557,226,0.91887053641354,0.721374593811636,0.999996777183395,988002,0.0005,0.00025,0.0011
"36","Dominican Republic",24645,4230,0.603081498906516,0.39256744152605,0.885889110009893,10847904,0.0013,0.00049,0.0033
"37","Ecuador",49097,5180,0.152994956373094,0.117944321131793,0.193703567010642,17643060,0.0038,0.0017,0.0083
"38","Egypt",50437,13608,0.214928637995007,0.171264592326802,0.261422026697775,102334403,0.0012,0.00057,0.0026
"39","El Salvador",4200,1009,0.525695870180799,0.356152720362889,0.720695552133494,6486201,0.00059,0.00024,0.0015
"40","Equatorial Guinea",1306,0,0.911949770559974,0.672396322157847,0.999998618294194,1402985,0,0,0
"41","Estonia",1977,30,0.454275380887735,0.26094383420528,0.806695851744488,1326539,0.0001,0.000031,0.00029
"42","Ethiopia",3954,1618,0.47152893138849,0.332366255843591,0.656369644895378,114963583,0.00006,0.000024,0.00014
"43","Finland",7117,92,0.844131312180829,0.526500665146976,0.998918203772812,5540718,0.000039,0.000018,0.00011
"44","France",158641,4050,0.302798687608328,0.240663398805756,0.380481680067395,65273512,0.00041,0.00018,0.00086
"45","Gabon",4340,1046,0.942230204874922,0.746403516770104,0.999999948409867,2225728,0.001,0.00052,0.0021
"46","Georgia",895,77,0.7920136948397,0.42868918645274,0.999595476575395,3989175,0.000049,0.000021,0.00015
"47","Germany",188534,3673,0.429072144982296,0.323354722789079,0.551504005082958,83783945,0.0002,0.000088,0.00045
"48","Ghana",12929,2728,0.96824632719423,0.82907400241607,0.999999999889148,31072945,0.00018,0.000098,0.00035
"49","Greece",3227,169,0.244388785918813,0.152184042540878,0.376530645404404,10423056,0.00013,0.000048,0.00036
"50","Guatemala",11868,4002,0.353262778705135,0.25746101904432,0.468297543386956,17915567,0.0013,0.00053,0.0029
"51","Guinea",4841,583,0.964509694414647,0.83865213210033,0.999999998312913,13132792,0.000092,0.000049,0.00018
"52","Guyana",183,27,0.56205341522441,0.178043722015461,0.989596345471446,786559,0.00012,0.000039,0.00064
"53","Haiti",4916,1254,0.835253456561732,0.517566152845301,0.999343894278871,11402533,0.00026,0.00012,0.00071
"54","Honduras",10739,3804,0.435568572897853,0.318550341940714,0.568644781270045,9904608,0.0018,0.00075,0.004
"55","Hungary",4081,64,0.137246921720627,0.0914002601548712,0.201167020264203,9660350,0.000097,0.000037,0.00024
"56","Iceland",1816,9,0.86314920908055,0.4730838084659,0.999979082901831,341250,0.000061,0.000029,0.00019
"57","India",380532,103949,0.18496898827066,0.151918097340808,0.21908659010367,1380004385,0.00081,0.00038,0.0017
